user_id,registration_date,user_info
CCBP1001USR,2021-06-06,"{""address"": {""city"":""Visakhapatnam"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""B.Tech"",""cgpa"":""7.2""},""profile"":{""gender"":""male"",""dob"":""1997-01-01""}}"
CCBP1002USR,2021-07-06,"{""address"": {""city"":""KAKINADA"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male"",""dob"":""2001-01-01""}}"
CCBP1003USR,2021-08-01,"{""address"": {""city"":""Visakhapatnam"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Degree"",""cgpa"":""7.2""},""profile"":{""gender"":""female"",""dob"":""1997-10-01""}}"
CCBP1004USR,2021-06-15,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""female"",""dob"":""2002-10-01""}}"
CCBP1005USR,2021-07-05,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male"",""dob"":""1997-01-01""}}"
CCBP1006USR,2021-07-10,"{""address"": {""city"":""chittor"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""B.Tech"",""cgpa"":""7.2""},""profile"":{""gender"":""male"",""dob"":""1998-01-01""}}"
CCBP1007USR,2021-07-11,"{""address"": {""city"":""Kurnool"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1998-01-01""}"
CCBP1008USR,2021-05-11,"{""address"": {""city"":""Guntoor"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""B.Tech"",""cgpa"":""7.2""},""profile"":{""gender"":""female""},""dob"":""1994-01-01""}"
CCBP1009USR,2021-05-12,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""9.2""},""profile"":{""gender"":""male""},""dob"":""1993-01-01""}"
CCBP1010USR,2021-05-13,"{""address"": {""city"":""Visakhapatnam"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Degree"",""cgpa"":""7.2""},""profile"":{""gender"":""male""},""dob"":""1997-01-01""}"
